Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
931381,RO892123,Beverages and Catering,238494 CAD,2018-01-12
567540,RO212121,Various paper supplies,349336 USD,2018-01-06
925247,FR453231,Concierge Services,246191 RON,2018-01-22
177498,RO123456,Professional Services,191699 USD,2018-01-28
553894,RO892123,Waste management services,123132 EUR,2018-01-18
312613,DE456232,Beverages and Catering,73237.2 EUR,2018-01-20
544627,RO892123,Waste management services,292228 CAD,0000-00-00
481594,FR322345,IT Support,80887.2 EUR,2018-01-10
611694,RO892123,Waste management services,301440 RON,2018-01-06
122441,RO874232,Professional Services,326717 CAD,2018-01-19
164402,RU567434,IT Support,152143 USD,2018-01-15
361363,IT213456,IT Support,171733 RON,2018-01-20
337485,RU567434,Waste management services,37856.4 RON,2018-01-23
686488,RO123456,Concierge Services,288187 USD,2018-01-17
403023,RU567434,Waste management services,170166 USD,2018-01-25
823382,IT754893,Various paper supplies,189565 RON,2018-01-15
991831,DE767565,IT Support,348572 RON,2018-01-19
202886,IT754893,Waste management services,5025.6 RON,2018-01-28
421497,DE767565,Concierge Services,295198 USD,2018-01-06
649204,RO212121,Various paper supplies,96916.8 EUR,2018-02-18
233249,DE456232,Various paper supplies,72691.2 CAD,2018-02-22
949644,IT754893,Various paper supplies,198209 RON,2018-02-03
897823,DE456232,Waste management services,246466 USD,2018-02-13
853180,RO254678,Various paper supplies,55066.8 RON,2018-02-03
441052,DE456232,Professional Services,159559 USD,2018-02-26
816420,DE325476,IT Support,168257 USD,2018-02-18
531992,RO254678,Beverages and Catering,14277.6 EUR,2018-02-20
966388,RO125678,Beverages and Catering,245362 USD,2018-02-24
404464,RO874232,Waste management services,311683 USD,2018-02-06
980086,RU567434,Waste management services,350047 USD,2018-02-14
366337,RO123456,Beverages and Catering,294306 USD,2018-02-12
117917,RO254678,Professional Services,293924 USD,2018-02-14
744692,FR322345,Concierge Services,264668 USD,2018-02-28
506777,RO892123,Various paper supplies,311587 RON,2018-02-03
140434,DE456232,Concierge Services,340982 EUR,2018-03-01
375704,RU567434,Beverages and Catering,315511 CAD,2018-03-21
387912,RO892123,Waste management services,346202 EUR,2018-03-15
630027,IT213456,Waste management services,116942 EUR,2018-03-26
626978,RO212121,Professional Services,169255 RON,2018-03-07
722274,RO345879,Concierge Services,177535 CAD,2018-03-15
772902,DE325476,Professional Services,193535 USD,2018-03-22
181113,FR453231,Concierge Services,86082 EUR,2018-03-20
339479,FR453231,Concierge Services,186202 EUR,2018-03-01
139034,RO874232,Professional Services,216239 RON,2018-03-09
224596,DE456232,Concierge Services,222078 EUR,2018-03-21
151478,DE767565,Beverages and Catering,5354.4 EUR,2018-03-18
483445,RO254678,Waste management services,350579 USD,2018-03-20
387009,RO874232,Concierge Services,333403 USD,2018-03-09
727449,DE767565,Concierge Services,320695 CAD,2018-03-28
830351,DE767565,Waste management services,293420 USD,2018-03-26
618846,FR121212,Professional Services,315979 CAD,2018-03-20
684349,IT231232,Professional Services,354629 CAD,2018-04-07
212015,RO254678,Various paper supplies,163418 EUR,2018-04-01
696465,DE767565,Concierge Services,248580 CAD,2018-04-09
570727,IT213456,Beverages and Catering,115788 USD,2018-04-28
702133,DE767565,Waste management services,130214 EUR,2018-04-14
212755,FR453231,Various paper supplies,141882 EUR,2018-04-07
818527,RO874232,Various paper supplies,249772 USD,0000-00-00
425566,RO123456,Waste management services,7707.6 RON,2018-04-19
850995,FR121212,Concierge Services,345572 RON,2018-04-11
624391,RO874232,Various paper supplies,142144 CAD,2018-05-02
969595,RO345879,Beverages and Catering,53670 RON,2018-05-05
446243,RO874232,Various paper supplies,311686 RON,2018-05-23
763916,RO125678,IT Support,276528 EUR,2018-05-09
645446,RO254678,Various paper supplies,328368 CAD,2018-05-13
915673,IT754893,Waste management services,181902 EUR,2018-05-02
500344,RO212121,IT Support,320686 EUR,2018-05-08
513535,RO254678,Various paper supplies,115933 EUR,2018-05-17
402201,FR121212,IT Support,54244.8 RON,2018-05-09
649774,RO345879,Professional Services,90298.8 RON,2018-06-27
446421,FR322345,Beverages and Catering,22165.2 CAD,2018-06-27
630856,RO345879,Professional Services,168949 USD,2018-06-14
514124,FR322345,IT Support,99493.2 USD,2018-06-18
953270,RO254678,Professional Services,232686 CAD,2018-06-09
566199,RO125678,Beverages and Catering,63313.2 EUR,0000-00-00
776262,RU567434,Beverages and Catering,17431.2 EUR,2018-06-07
331153,IT213456,Waste management services,284480 RON,2018-06-25
871682,DE325476,IT Support,218153 CAD,2018-06-06
